width,height
512,512
283,357
236,236
200,210
211,239
236,298
300,353
512,512
512,512
250,290
512,512
292,349
512,512
189,173
512,512
456,519
512,512
300,353
226,223
360,380
224,245
288,340
226,223
303,354
512,512
315,350
272,355
630,630
504,630
512,512
272,350
512,512
272,350
180,218
353,442
512,512
279,344
512,512
272,355
270,316
272,355
314,340
212,237
279,354
279,344
512,512
450,446
512,512
300,353
189,173
512,512
450,446
512,512
400,369
512,512
273,318
512,512
564,665
249,269
262,351
512,512
300,336
283,295
512,512
864,938
271,307
512,512
210,240
314,340
512,512
273,342
512,512
294,355
225,225
180,218
512,512
201,251
512,512
250,290
400,369
512,512
300,347
781,960
297,359
272,355
512,512
200,210
512,512
272,350
512,512
512,512
201,251
260,331
512,512
194,260
512,512
512,512
306,365
512,512
286,370
512,512
864,938
864,938
204,245
911,938
512,512
300,353
292,349
512,512
297,348
512,512
318,354
189,173
319,360
211,239
512,512
288,340
253,291
264,336
512,512
204,251
283,357
512,512
244,308
512,512
512,512
354,442
180,218
398,397
272,331
276,323
512,512
512,512
272,331
512,512
294,355
400,369
512,512
512,512
512,512
1275,1427
512,512
232,309
526,555
512,512
911,938
272,277
213,236
273,342
512,512
279,354
911,938
512,512
240,300
512,512
213,236
512,512
300,353
300,347
512,512
315,350
225,225
279,344
204,251
512,512
297,348
512,512
215,233
197,255
467,586
630,630
512,512
512,512
565,513
310,380
512,512
213,236
512,512
271,307
205,246
216,234
512,512
374,456
287,348
279,354
512,512
240,300
300,336
294,355
278,324
300,325
512,512
272,331
512,512
262,351
630,630
383,407
400,369
630,630
300,347
315,350
512,512
292,349
630,630
512,512
273,342
512,512
271,307
512,512
512,512
272,350
512,512
250,294
283,357
512,512
240,300
512,512
200,210
311,355
272,277
512,512
911,938
236,278
512,512
288,340
292,349
205,246
279,344
911,938
512,512
213,236
512,512
201,251
236,236
250,290
264,336
225,225
630,630
512,512
512,512
272,355
314,340
512,512
283,357
201,251
512,512
512,512
526,555
512,512
258,279
512,512
526,555
355,450
512,512
303,354
587,630
254,325
1059,1200
512,512
230,219
512,512
512,512
628,630
512,512
456,519
512,512
216,234
250,294
1061,1280
379,379
310,380
271,307
512,512
300,349
512,512
310,366
512,512
300,349
512,512
281,352
353,442
512,512
485,594
512,512
248,338
1275,1427
512,512
213,237
512,512
512,512
512,512
512,512
223,303
512,512
377,500
512,512
314,340
288,340
273,342
634,929
512,512
273,351
205,243
297,359
291,340
512,512
1059,1200
306,365
512,512
278,351
526,555
512,512
512,512
264,336
512,512
231,283
512,512
240,300
512,512
300,353
512,512
512,512
200,252
260,331
315,350
250,290
512,512
249,269
512,512
374,456
512,512
283,295
512,512
226,223
205,243
194,260
337,412
388,453
289,300
512,512
270,316
